color,depressed,dreamy,romantic,healing,joy
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,3,1
green,1,1,1,3,1
green,1,1,1,3,1
green,1,1,1,3,1
green,1,1,1,3,1
green,1,1,1,2,1
green,1,1,1,2,1
green,1,1,1,2,1
green,1,1,1,2,1
green,1,1,1,1,1
yellow,5,5,5,5,5
yellow,5,5,5,5,5
yellow,5,5,5,5,5
yellow,5,4,5,5,5
yellow,5,4,5,5,5
yellow,4,4,5,5,5
yellow,4,4,4,5,5
yellow,4,4,4,5,5
yellow,4,4,4,5,5
yellow,4,4,4,5,5
yellow,4,4,4,5,5
yellow,4,4,4,5,5
yellow,4,4,4,5,5
yellow,4,4,4,4,5
yellow,4,4,4,4,5
yellow,4,3,4,4,5
yellow,4,3,4,4,5
yellow,4,3,4,4,5
yellow,4,3,4,4,5
yellow,4,3,4,4,5
yellow,4,3,4,4,5
yellow,4,3,4,4,5
yellow,4,3,4,4,5
yellow,4,3,4,4,5
yellow,4,3,4,4,5
yellow,4,3,4,4,5
yellow,4,3,4,4,5
yellow,4,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,4,4,5
yellow,3,3,3,4,5
yellow,3,3,3,4,5
yellow,3,3,3,4,5
yellow,3,3,3,4,5
yellow,3,3,3,4,5
yellow,2,3,3,4,5
yellow,2,3,3,4,5
yellow,2,3,3,4,5
yellow,2,3,3,4,5
yellow,2,3,3,4,5
yellow,2,3,3,4,5
yellow,2,3,3,3,5
yellow,2,3,3,3,5
yellow,2,3,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,2,2,3,3,5
yellow,1,2,3,3,5
yellow,1,2,3,3,5
yellow,1,2,3,3,5
yellow,1,2,3,3,5
yellow,1,2,2,3,5
yellow,1,2,2,3,5
yellow,1,2,2,3,5
yellow,1,2,2,3,5
yellow,1,2,2,3,5
yellow,1,2,2,3,5
yellow,1,2,2,3,5
yellow,1,2,2,3,5
yellow,1,2,2,3,5
yellow,1,2,2,3,5
yellow,1,2,2,3,5
yellow,1,2,2,3,5
yellow,1,2,2,3,5
yellow,1,2,2,2,5
yellow,1,2,2,2,5
yellow,1,2,2,2,5
yellow,1,2,2,2,5
yellow,1,2,2,2,5
yellow,1,1,2,2,5
yellow,1,1,2,2,5
yellow,1,1,2,2,5
yellow,1,1,2,2,5
yellow,1,1,2,2,4
yellow,1,1,2,2,4
yellow,1,1,2,2,4
yellow,1,1,2,2,4
yellow,1,1,2,2,4
